Image Name,T0,T1,T2,T3,T4,Tappl
conf_068,10133856,10133864,11156911,11156937,14140922,5.25268030166626
conf_032,15405259,15405266,16426430,16426454,19407450,5.238401174545288
conf_073,20656653,20656660,21677991,21678015,24658938,5.236609697341919
conf_053,25906657,25906664,26927875,26927899,29908816,5.23854398727417
conf_066,31158304,31158312,32179647,32179671,35160624,5.2391321659088135
conf_062,36410674,36410682,37431936,37431961,40412972,5.239244222640991
conf_010,41662886,41662894,42684239,42684264,45665246,5.237583637237549
conf_012,46913476,46913485,47934812,47934836,50915821,5.236445188522339
conf_038,52162741,52162749,53183985,53184010,56164936,5.243649959564209
conf_037,57419337,57419344,58440766,58440790,61421793,5.239651441574097
conf_020,62672123,62672130,63693417,63693441,66674519,5.237055778503418
conf_004,67922729,67922737,68944041,68944065,71925084,5.237348794937134
conf_061,73172977,73172984,74194227,74194251,77175211,5.239433765411377
conf_064,78425561,78425568,79446875,79446899,82427918,5.237626552581787
conf_017,83676682,83676690,84697965,84697989,87679014,5.236793279647827
conf_082,88926771,88926779,89948024,89948048,92929059,5.237092733383179
conf_054,94177236,94177244,95198479,95198503,98179410,5.238121747970581
conf_030,99428523,99428530,100449824,100449849,103430758,5.2367331981658936
conf_065,104678248,104678258,105699620,105699645,108680584,5.2355265617370605
conf_084,109927128,109927136,110948342,110948366,113929304,5.237909317016602
conf_083,115177908,115177916,116199271,116199295,119180024,5.238680124282837
conf_002,120429517,120429524,121450789,121450813,124431784,5.236613512039185
conf_075,125679221,125679229,126700570,126700595,129681526,5.236922264099121
conf_074,130929085,130929093,131950413,131950444,134931392,5.241300582885742
conf_013,136183489,136183496,137204774,137204798,140185650,5.237761974334717
conf_072,141434184,141434191,142455418,142455442,145436205,5.240778684616089
conf_086,146686475,146686483,147707697,147707722,150688650,5.236250162124634
conf_070,151934641,151934648,152956037,152956061,155936933,5.240134000778198
conf_067,157186384,157186392,158207579,158207603,161188531,5.237172365188599
conf_009,162435343,162435350,163456683,163456707,166437748,5.241566181182861
conf_060,167690328,167690335,168711460,168711487,171692446,5.23949408531189
conf_071,172942718,172942725,173964011,173964035,176945094,5.241350889205933
conf_008,178197456,178197463,179218650,179218675,182199623,5.239938259124756
conf_063,183450490,183450497,184471790,184471814,187452715,5.241132736206055
conf_069,188703834,188703842,189725113,189725137,192706040,5.237800121307373
conf_041,193954600,193954608,194975877,194975901,197956808,5.240459442138672
conf_029,199207524,199207531,200228796,200228821,203209820,5.237520933151245
conf_081,204457801,204457808,205479117,205479141,208460095,5.240147590637207
conf_014,209710741,209710749,210732065,210732090,213713049,5.237682342529297
conf_085,214960811,214960819,215982095,215982119,218963075,5.239911794662476
